,MeanV,Density,Blain
462,7.526,3,5987
463,7.526,3,5987
464,7.526,3,5987
465,7.526,3,5987
466,7.526,3,5987
467,7.526,3,5987
468,7.526,3,5987
469,7.526,3,5987
470,7.526,3,5987
471,7.526,3,5987
472,7.526,3,5987
473,7.526,3,5987
474,7.526,3,5987
475,7.526,3,5987
476,7.526,3,5987
477,7.526,3,5987
478,7.526,3,5987
479,7.526,3,5987
480,7.526,3,5987
481,7.526,3,5987
482,7.526,3,5987
483,7.526,3,5987
484,7.526,3,5987
485,7.526,3,5987
486,7.526,3,5987
487,7.526,3,5987
488,7.526,3,5987
489,7.526,3,5987
490,7.526,3,5987
491,7.526,3,5987
492,7.526,3,5987
493,7.526,3,5987
494,7.394,2.97,5998
495,7.394,2.97,5998
496,7.394,2.97,5998
497,7.394,2.97,5998
498,7.394,2.97,5998
499,7.394,2.97,5998
500,7.394,2.97,5998
501,7.394,2.97,5998
502,7.394,2.97,5998
503,7.394,2.97,5998
504,7.394,2.97,5998
505,7.394,2.97,5998
506,7.394,2.97,5998
507,7.394,2.97,5998
508,7.394,2.97,5998
509,7.394,2.97,5998
510,7.394,2.97,5998
511,7.394,2.97,5998
512,7.394,2.97,5998
513,7.394,2.97,5998
514,7.394,2.97,5998
515,7.394,2.97,5998
516,7.394,2.97,5998
517,7.394,2.97,5998
518,7.394,2.97,5998
519,7.394,2.97,5998
520,7.394,2.97,5998
521,7.394,2.97,5998
522,7.394,2.97,5998
523,7.394,2.97,5998
524,7.394,2.97,5998
525,7.394,2.97,5998
526,7.394,2.97,5998
527,7.394,2.97,5998
528,7.394,2.97,5998
529,7.394,2.97,5998
530,7.394,2.97,5998
531,7.394,2.97,5998
532,7.394,2.97,5998
533,7.394,2.97,5998
534,7.394,2.97,5998
535,7.394,2.97,5998
536,7.394,2.97,5998
537,7.394,2.97,5998
538,7.394,2.97,5998
539,7.394,2.97,5998
540,7.394,2.97,5998
541,7.394,2.97,5998
542,18.83,2.97,3608
543,15.88,2.97,4687
544,11.54,2.97,5997
545,14.49,2.97,5465
546,12.73,2.97,5208
547,11.54,2.97,5997
548,11.75,2.97,5987
549,11.54,2.97,5997
550,13.36,2.97,5032
551,20.82,2.97,3470
552,19.71,2.97,3349
553,20.62,2.97,3461
554,18.69,2.97,3733
555,14.59,2.97,4446
556,15.33,2.97,4566
557,16.35,2.97,4604
558,15.09,2.97,4926
559,11.77,2.97,5875
560,12.26,2.97,5858
561,13.17,2.97,5658
562,12.21,2.97,6007
563,11.52,2.97,6110
564,9.2,2.97,6548
565,62.11,2.97,732
566,19.01,2.97,3805
567,16.96,2.97,4541
568,11.4,2.97,6312
569,14.29,2.97,5791
570,7.92,2.97,7222
571,12.26,2.97,5.858
572,12.26,2.97,5.858
573,12.26,2.97,5.858
574,12.26,2.97,5.858
575,12.26,2.97,5.858
576,12.26,2.97,5.858
577,12.26,2.97,5.858
578,12.26,2.97,5.858
579,12.26,2.97,5.858
580,12.26,2.97,5.858
