,Index,RMth,No,Class1,Class2,CaO,Al2O3,SiO2,Fe2O3,SO3,MgO,etc,FM
0,210323-01,2020.09,1,세아,급결재,50.71,27.52,8.15,2.23,3.95,5.8,1.6399999999999864,2.56
1,210323-02,2020.09,2,세아,시멘트,50.71,27.52,8.15,2.23,3.95,5.8,1.6399999999999864,2.56
2,210323-03,2020.09,3,세아,시멘트,50.71,27.52,8.15,2.23,3.95,5.8,1.6399999999999864,2.56
3,210323-04,2020.09,4,세아,시멘트,50.71,27.52,8.15,2.23,3.95,5.8,1.6399999999999864,2.56
4,210427-01,2021.02,1,세아,급결재,55.21,24.35,6.04,1.08,5.5,6.74,1.0799999999999983,
5,210427-02,2021.02,2,세아,시멘트,55.21,24.35,6.04,1.08,5.5,6.74,1.0799999999999983,
6,210427-03,2021.02,3,세아,시멘트,55.21,24.35,6.04,1.08,5.5,6.74,1.0799999999999983,
7,210427-04,2021.04,1,세아,급결재,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
8,210427-05,2021.04,2,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
9,210427-06,2021.04,3,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
10,210428-2.5mm,2021.04,1,세아,급결재,47.2763,26.2733,6.8598,2.4,3.1745,7.9662,6.049899999999994,
11,210428-1.25mm,2021.04,2,세아,급결재,49.1362,27.7103,7.1308,0.7663,3.874,10.0265,1.3559000000000054,
12,210428-0.6mm,2021.04,3,세아,급결재,49.2164,29.0434,7.6117,0.616,4.0683,8.2165,1.227700000000013,
13,210428-0.3mm,2021.04,4,세아,급결재,49.0821,30.4925,7.0312,2.0106,3.3214,6.6416,1.4206000000000074,
14,210428-0.15mm,2021.04,5,세아,급결재,49.3306,31.4733,6.1703,1.6185,3.284,6.4762,1.6470999999999947,
15,210608-Yellow,2021.04,1,세아,급결재,48.3242,29.6712,6.1429,2.9255,3.5726,7.8839,1.4797000000000224,
16,210608-White,2021.04,2,세아,급결재,51.3998,28.7012,5.4491,1.2684,3.4576,8.3222,1.4017000000000053,
17,210608-Black,2021.04,3,세아,급결재,34.1589,22.8633,7.478,19.743,2.1479,6.5741,7.034800000000004,
18,210624-01,2021.04,1,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
19,210624-02,2021.04,2,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
20,210624-03,2021.04,3,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
21,210624-04,2021.04,4,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
22,210701-01,2021.04,1,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
23,210701-02,2021.04,2,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
24,210701-03,2021.04,3,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
25,210713-01,2021.04,1,세아,급결재,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
26,210713-02,2021.04,2,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
27,210713-03,2021.04,3,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
28,210713-04,2021.04,4,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
29,210713-05,2021.04,5,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
30,210713-06,2021.04,6,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
31,210713-07,2021.04,7,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
32,210713-08,2021.04,8,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
33,210713-09,2021.04,9,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
34,210713-10,2021.04,10,세아,시멘트,49.07,29.81,7.83,1.94,3.44,6.36,1.5500000000000114,3.18
35,210716-CA90-CS10,2021.04,1,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
36,210716-CA80-CS20,2021.04,2,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
37,210716-CA70-CS30,2021.04,3,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
38,210716-CA60-CS40,2021.04,4,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
39,210716-CA50-CS50,2021.04,5,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
40,210717-01,2021.04,1,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
41,210717-02,2021.04,2,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
42,210717-03,2021.04,3,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
43,210717-04,2021.04,4,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
44,210717-05,2021.04,5,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
45,210720-01,2021.04,1,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
46,210720-02,2021.04,2,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
47,210720-03,2021.04,3,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
48,210720-04,2021.04,4,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
49,210720-05,2021.04,5,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
50,210720-06,2021.04,6,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
51,210802-01,2021.04,1,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
52,210802-02,2021.04,2,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
53,210802-03,2021.04,3,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
54,210802-04,2021.04,4,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
55,210802-05,2021.04,5,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
56,210802-06,2021.04,6,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
57,210802-07,2021.04,7,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,3.18
58,220221-01,2021.09,1,세아,시멘트,52.14,24.31,10.74,1.25,3.85,5.2,2.510000000000005,3.21
59,220221-02,2021.09,2,세아,시멘트,53.11,23.86,10.54,1.21,3.81,4.96,2.5100000000000193,3.21
60,220221-03,2021.09,3,세아,시멘트,52.02,24.1,11.483,1.13,3.59,5.09,2.586999999999989,3.21
61,220221-04,2021.09,4,세아,시멘트,53.61,22.41,11.09,1.55,4.09,4.94,2.3100000000000023,3.21
62,220221-05,2021.09,5,세아,시멘트,52.44,24.13,10.97,1.02,3.81,5.38,2.250000000000014,3.21
63,220221-06,2021.09,6,세아,시멘트,54.07,24.19,9.92,1.19,3.76,4.55,2.319999999999993,3.21
64,220221-07,2021.09,7,세아,시멘트,50.77,27.88,10.12,0.89,3.69,4.66,1.9899999999999949,3.21
65,220221-08,2021.09,8,세아,시멘트,54.01,23.71,10.18,1.46,3.97,4.36,2.3100000000000023,3.21
66,220221-09,2021.09,9,세아,시멘트,53.53,23.96,9.94,1.37,3.95,4.81,2.4399999999999835,3.21
67,220221-10,2021.09,10,세아,시멘트,51.82,25.54,11.35,0.98,3.72,4.55,2.0400000000000063,3.21
68,220221-11,2021.09,11,세아,시멘트,52.62,23.72,11.31,1.21,3.84,4.82,2.4799999999999898,3.21
69,220502-5mm over,2021.04,1,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,0.19
70,220502-2.5mm,2021.04,2,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,0.43
71,220502-1.2mm,2021.04,3,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,0.73
72,220502-0.6mm,2021.04,4,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,1.09
73,220502-0.3mm,2021.04,5,세아,시멘트,50.1,29.3,8.2,1.6,3.9,5.6,1.2999999999999972,1.54
74,221102-01,2022.1,1,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
75,221102-02,2022.1,2,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
76,221102-03,2022.1,3,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
77,221102-04,2022.1,4,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
78,221102-05,2022.1,5,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
79,221102-06,2022.1,6,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
80,221102-07,2022.1,7,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
81,221102-08,2022.1,8,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
82,221102-09,2022.1,9,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
83,221102-10,2022.1,10,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
84,221102-11,2022.1,11,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
85,221102-12,2022.1,12,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
86,221102-13,2022.1,13,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
87,221102-14,2022.1,14,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
88,221102-15,2022.1,15,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
89,221102-16,2022.1,16,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
90,221102-17,2022.1,1,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
91,221102-18,2022.1,2,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
92,221102-19,2022.1,3,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
93,221102-20,2022.1,4,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
94,221102-21,2022.1,5,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
95,221102-22,2022.1,6,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
96,221102-23,2022.1,7,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
97,221102-24,2022.1,8,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
98,221102-25,2022.1,9,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
99,221102-26,2022.1,10,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
100,221102-27,2022.1,11,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
101,221102-28,2022.1,12,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
102,221102-29,2022.1,13,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
103,221102-30,2022.1,14,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
104,221108-01,2022.1,1,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
105,221108-02,2022.1,2,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
106,221108-03,2022.1,3,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
107,221108-04,2022.1,4,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
108,221108-05,2022.1,5,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
109,221108-06,2022.1,6,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
110,221108-07,2022.1,7,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
111,221108-08,2022.1,8,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
112,221206-01,2022.1,1,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
113,221206-02,2022.1,2,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
114,221206-03,2022.1,3,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
115,221206-04,2022.1,4,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
116,221206-05,2022.1,5,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
117,221206-06,2022.1,6,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
118,221206-07,2022.1,7,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
119,221206-08,2022.1,8,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
120,230111-01,2022.1,1,현대,급결재,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
121,230111-02,2022.1,2,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
122,230111-03,2022.1,3,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
123,230111-04,2022.1,4,현대,시멘트,51.65,28.93,11.68,0.96,0.64,3.14,3.000000000000014,4.2
124,230111-05,2022.1,1,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
125,230111-06,2022.1,2,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
126,230111-07,2022.1,3,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
127,230111-08,2022.1,4,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
128,230111-09,2022.1,5,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
129,230111-10,2022.1,6,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
130,230111-11,2022.1,7,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
131,230111-12,2022.1,8,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
132,230111-13,2022.1,9,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
133,230111-14,2022.1,10,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
134,230111-15,2022.1,11,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
135,230111-16,2022.1,12,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
136,230111-17,2022.1,13,현대,급결재,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
137,230111-18,2022.1,14,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
138,230111-19,2022.1,15,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
139,230111-20,2022.1,16,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
140,230116-01,2022.1,1,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
141,230116-02,2022.1,2,현대,시멘트,50.43,27.52,11.81,1.51,1.04,5.04,2.6499999999999773,2.7
142,230315-01,2023.01,1,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,
143,230315-02,2023.01,2,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,
144,230315-03,2023.01,3,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,
145,230315-04,2023.01,4,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,
146,230315-05,2023.01,5,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,
147,230315-06,2023.01,6,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.05
148,230315-07,2023.01,7,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.05
149,230315-08,2023.01,8,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.05
150,230315-09,2023.01,9,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.05
151,230315-10,2023.01,10,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.05
152,230315-11,2023.01,11,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.14
153,230315-12,2023.01,12,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.14
154,230315-13,2023.01,13,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.14
155,230315-14,2023.01,14,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.14
156,230315-15,2023.01,15,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.14
157,230315-16,2023.01,16,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.29
158,230315-17,2023.01,17,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.29
159,230315-18,2023.01,18,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.29
160,230315-19,2023.01,19,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.29
161,230315-20,2023.01,20,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,0.29
162,230315-21,2023.01,21,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,1.09
163,230315-22,2023.01,22,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,1.09
164,230315-23,2023.01,23,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,1.09
165,230315-24,2023.01,24,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,1.09
166,230315-25,2023.01,25,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,1.09
167,230316-01,2023.01,1,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
168,230316-02,2023.01,2,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
169,230316-03,2023.01,3,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
170,230316-04,2023.01,4,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
171,230316-05,2023.01,5,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
172,230316-06,2023.01,6,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
173,230321-01,2023.01,1,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
174,230321-02,2023.01,2,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
175,230321-03,2023.01,3,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
176,230321-04,2023.01,4,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
177,230321-05,2023.01,5,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
178,230321-06,2023.01,6,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
179,230321-07,2023.01,7,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
180,230321-08,2023.01,8,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
181,230406-01,2023.01,1,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
182,230406-02,2023.01,2,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
183,230406-03,2023.01,3,세아,기포콘크리트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
184,230411-01,2023.01,1,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
185,230411-02,2023.01,2,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
186,230411-03,2023.01,3,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
187,230413-01,2023.01,1,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
188,230413-02,2023.01,2,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
189,230413-03,2023.01,3,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
190,230616-01,2023.01,1,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
191,230616-02,2023.01,2,세아,시멘트,46.65,30.73,7.78,0.56,4.7,7.6,1.980000000000004,2.84
192,230718-01,2023.07,1,현대,급결재,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
193,230718-02,2023.07,2,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
194,230718-03,2023.07,3,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
195,230718-04,2023.07,4,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
196,230718-05,2023.07,5,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
197,230718-06,2023.07,6,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
198,230718-07,2023.07,7,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
199,230718-08,2023.07,8,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
200,230718-09,2023.07,9,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
201,230718-10,2023.07,10,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
202,230718-11,2023.07,11,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
203,230718-12,2023.07,12,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
204,230718-13,2023.07,13,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
205,230718-14,2023.07,1,현대,급결재,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
206,230718-15,2023.07,2,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
207,230718-16,2023.07,3,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
208,230718-17,2023.07,4,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
209,230718-18,2023.07,5,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
210,230718-19,2023.07,6,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
211,230718-20,2023.07,7,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
212,230718-21,2023.07,8,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
213,230718-22,2023.07,9,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
214,230718-23,2023.07,10,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
215,230718-24,2023.07,11,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
216,230718-25,2023.07,12,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
217,230718-26,2023.07,13,현대,시멘트,51.03,27.48,11.34,1.68,1.28,5.16,2.029999999999987,2.8
218,230720-01,2023.07,1,현대,급결재,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
219,230720-02,2023.07,2,현대,급결재,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
220,230720-03,2023.07,3,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
221,230720-04,2023.07,4,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
222,230720-05,2023.07,5,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
223,230720-06,2023.07,6,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
224,230720-07,2023.07,7,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
225,230720-08,2023.07,8,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
226,230720-09,2023.07,9,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
227,230720-10,2023.07,10,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
228,230720-11,2023.07,11,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
229,230720-12,2023.07,12,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
230,230720-13,2023.07,13,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
231,230720-14,2023.07,14,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
232,230720-15,2023.07,15,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
233,230720-16,2023.07,16,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
234,230720-17,2023.07,17,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
235,230720-18,2023.07,18,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
236,230720-19,2023.07,19,현대,시멘트,49.51,23.98,9.87,7.26,0.4,4.66,4.319999999999993,4.4
